generation,pi
1248,1.44223e-05
1249,1.45042e-05
1250,1.45609e-05
1251,1.45721e-05
1252,1.46156e-05
1253,1.46463e-05
1254,1.47534e-05
1255,1.47296e-05
1256,1.49022e-05
1257,1.5031e-05
1258,1.50367e-05
1259,1.50318e-05
1260,1.50174e-05
1261,1.50219e-05
1262,1.50599e-05
1263,1.50283e-05
1264,1.50838e-05
1265,1.50376e-05
1266,1.50922e-05
1267,1.51665e-05
1268,1.5135e-05
1269,1.51396e-05
1270,1.50463e-05
1271,1.50884e-05
1272,1.51247e-05
1273,1.5125e-05
1274,1.518e-05
1275,1.50992e-05
1276,1.51067e-05
1277,1.51734e-05
1278,1.51994e-05
1279,1.52367e-05
1280,1.5181e-05
1281,1.51919e-05
1282,1.51339e-05
1283,1.51327e-05
1284,1.5182e-05
1285,1.52026e-05
1286,1.52091e-05
1287,1.52047e-05
1288,1.5205e-05
1289,1.5221e-05
1290,1.53084e-05
1291,1.52495e-05
1292,1.52187e-05
1293,1.521e-05
1294,1.51334e-05
1295,1.51576e-05
1296,1.53214e-05
1297,1.52778e-05
1298,1.53102e-05
1299,1.53477e-05
1300,1.53877e-05
1301,1.54171e-05
1302,1.55018e-05
1303,1.54697e-05
1304,1.53443e-05
1305,1.53247e-05
1306,1.53106e-05
1307,1.52646e-05
1308,1.5227e-05
1309,1.5128e-05
1310,1.50965e-05
1311,1.50426e-05
1312,1.50634e-05
1313,1.50193e-05
1314,1.50678e-05
1315,1.5057e-05
1316,1.51229e-05
1317,1.51608e-05
1318,1.52773e-05
1319,1.52837e-05
1320,1.54187e-05
1321,1.54544e-05
1322,1.54791e-05
1323,1.55042e-05
1324,1.5414e-05
1325,1.54615e-05
1326,1.54323e-05
1327,1.53851e-05
1328,1.53261e-05
1329,1.52174e-05
1330,1.52383e-05
1331,1.52516e-05
1332,1.53228e-05
1333,1.53867e-05
1334,1.52982e-05
1335,1.52517e-05
1336,1.52557e-05
1337,1.52146e-05
1338,1.51874e-05
1339,1.52038e-05
1340,1.52528e-05
1341,1.523e-05
1342,1.51377e-05
1343,1.5097e-05
1344,1.51273e-05
1345,1.5128e-05
1346,1.49459e-05
1347,1.50382e-05
1348,1.49965e-05
1349,1.50485e-05
1350,1.49864e-05
1351,1.5012e-05
1352,1.48924e-05
1353,1.49196e-05
1354,1.4922e-05
1355,1.48856e-05
1356,1.49521e-05
1357,1.49599e-05
1358,1.50641e-05
1359,1.50972e-05
1360,1.51334e-05
1361,1.51357e-05
1362,1.51092e-05
